2013-02-28 06:48:02 startup archives install
2013-02-28 06:48:02 install base-files:i386 <none> 7.1
2013-02-28 06:48:02 status half-installed base-files:i386 7.1
2013-02-28 06:48:02 status unpacked base-files:i386 7.1
2013-02-28 06:48:02 status unpacked base-files:i386 7.1
2013-02-28 06:48:02 install base-passwd:i386 <none> 3.5.26
2013-02-28 06:48:02 status half-installed base-passwd:i386 3.5.26
2013-02-28 06:48:02 status unpacked base-passwd:i386 3.5.26
2013-02-28 06:48:02 status unpacked base-passwd:i386 3.5.26
2013-02-28 06:48:02 configure base-passwd:i386 3.5.26 3.5.26
2013-02-28 06:48:02 status unpacked base-passwd:i386 3.5.26
2013-02-28 06:48:02 status half-configured base-passwd:i386 3.5.26
2013-02-28 06:48:02 status installed base-passwd:i386 3.5.26
2013-02-28 06:48:02 configure base-files:i386 7.1 7.1
2013-02-28 06:48:02 status unpacked base-files:i386 7.1
2013-02-28 06:48:02 status unpacked base-files:i386 7.1
2013-02-28 06:48:02 status unpacked base-files:i386 7.1
2013-02-28 06:48:02 status unpacked base-files:i386 7.1
2013-02-28 06:48:02 status unpacked base-files:i386 7.1
2013-02-28 06:48:02 status unpacked base-files:i386 7.1
2013-02-28 06:48:02 status unpacked base-files:i386 7.1
2013-02-28 06:48:02 status half-configured base-files:i386 7.1
2013-02-28 06:48:02 status installed base-files:i386 7.1
2013-02-28 06:48:02 startup archives install
2013-02-28 06:48:02 upgrade dpkg 1.16.9 1.16.9
2013-02-28 06:48:02 status half-configured dpkg 1.16.9
2013-02-28 06:48:02 status unpacked dpkg 1.16.9
2013-02-28 06:48:02 status half-installed dpkg 1.16.9
2013-02-28 06:48:03 status half-installed dpkg 1.16.9
2013-02-28 06:48:03 status unpacked dpkg 1.16.9
2013-02-28 06:48:03 status unpacked dpkg 1.16.9
2013-02-28 06:48:03 configure dpkg 1.16.9 1.16.9
2013-02-28 06:48:03 status unpacked dpkg 1.16.9
2013-02-28 06:48:03 status unpacked dpkg 1.16.9
2013-02-28 06:48:03 status unpacked dpkg 1.16.9
2013-02-28 06:48:03 status unpacked dpkg 1.16.9
2013-02-28 06:48:03 status unpacked dpkg 1.16.9
2013-02-28 06:48:03 status half-configured dpkg 1.16.9
2013-02-28 06:48:03 status installed dpkg 1.16.9
2013-02-28 06:48:03 startup archives install
2013-02-28 06:48:03 install libc6:i386 <none> 2.13-38
2013-02-28 06:48:03 status half-installed libc6:i386 2.13-38
2013-02-28 06:48:07 status unpacked libc6:i386 2.13-38
2013-02-28 06:48:07 status unpacked libc6:i386 2.13-38
2013-02-28 06:48:07 configure libc6:i386 2.13-38 2.13-38
2013-02-28 06:48:07 status unpacked libc6:i386 2.13-38
2013-02-28 06:48:07 status unpacked libc6:i386 2.13-38
2013-02-28 06:48:07 status half-configured libc6:i386 2.13-38
2013-02-28 06:48:08 status installed libc6:i386 2.13-38
2013-02-28 06:48:08 startup archives install
2013-02-28 06:48:08 install perl-base:i386 <none> 5.14.2-18
2013-02-28 06:48:08 status half-installed perl-base:i386 5.14.2-18
2013-02-28 06:48:14 status unpacked perl-base:i386 5.14.2-18
2013-02-28 06:48:14 status unpacked perl-base:i386 5.14.2-18
2013-02-28 06:48:14 configure perl-base:i386 5.14.2-18 5.14.2-18
2013-02-28 06:48:14 status unpacked perl-base:i386 5.14.2-18
2013-02-28 06:48:14 status half-configured perl-base:i386 5.14.2-18
2013-02-28 06:48:14 status installed perl-base:i386 5.14.2-18
2013-02-28 06:48:14 startup archives install
2013-02-28 06:48:14 install mawk:i386 <none> 1.3.3-17
2013-02-28 06:48:14 status half-installed mawk:i386 1.3.3-17
2013-02-28 06:48:14 status unpacked mawk:i386 1.3.3-17
2013-02-28 06:48:14 status unpacked mawk:i386 1.3.3-17
2013-02-28 06:48:14 configure mawk:i386 1.3.3-17 1.3.3-17
2013-02-28 06:48:14 status unpacked mawk:i386 1.3.3-17
2013-02-28 06:48:14 status half-configured mawk:i386 1.3.3-17
2013-02-28 06:48:14 status installed mawk:i386 1.3.3-17
2013-02-28 06:48:14 startup archives install
2013-02-28 06:48:14 install debconf:all <none> 1.5.49
2013-02-28 06:48:14 status half-installed debconf:all 1.5.49
2013-02-28 06:48:14 status unpacked debconf:all 1.5.49
2013-02-28 06:48:14 status unpacked debconf:all 1.5.49
2013-02-28 06:48:14 configure debconf:all 1.5.49 1.5.49
2013-02-28 06:48:14 status unpacked debconf:all 1.5.49
